336,5
307,2
90,1
265,2
150,4
297,2
78,1
101,1
312,2
33,3
73,1
84,1
196,0
42,3
153,4
282,2
218,0
72,1
334,5
250,0
56,3
172,4
228,0
9,3
163,4
15,3
182,4
155,4
284,2
0,3
377,5
76,1
25,3
124,1
126,4
165,4
57,3
118,1
326,5
262,2
39,3
46,3
347,5
145,4
116,1
114,1
349,5
55,3
22,3
31,3
380,5
152,4
93,1
248,0
30,3
177,4
375,5
317,2
358,5
246,0
294,2
382,5
140,4
316,2
5,3
45,3
108,1
234,0
94,1
355,5
77,1
113,1
3,3
18,3
137,4
357,5
168,4
63,3
255,0
374,5
363,5
82,1
222,0
339,5
110,1
209,0
290,2
232,0
371,5
245,0
340,5
75,1
323,5
227,0
16,3
66,1
210,0
7,3
19,3
132,4
341,5
335,5
104,1
173,4
281,2
373,5
286,2
60,3
79,1
274,2
131,4
346,5
368,5
109,1
17,3
361,5
24,3
220,0
337,5
141,4
238,0
233,0
148,4
253,0
302,2
381,5
139,4
360,5
167,4
119,1
366,5
193,0
367,5
176,4
296,2
36,3
280,2
275,2
198,0
301,2
59,3
111,1
299,2
6,3
277,2
333,5
10,3
181,4
103,1
81,1
195,0
229,0
278,2
202,0
158,4
157,4
89,1
180,4
147,4
268,2
92,1
69,1
123,1
96,1
143,4
292,2
97,1
219,0
68,1
23,3
37,3
144,4
122,1
67,1
175,4
203,0
208,0
305,2
239,0
125,1
146,4
225,0
86,1
324,5
194,0
325,5
320,2
247,0
291,2
183,4
192,0
272,2
283,2
271,2
129,4
38,3
11,3
322,5
185,4
211,0
112,1
179,4
258,0
249,0
117,1
354,5
266,2
370,5
362,5
384,5
164,4
289,2
136,4
154,4
199,0
197,0
378,5
2,3
204,0
115,1
223,0
338,5
26,3
120,1
321,2
224,0
231,0
314,2
331,5
127,4
74,1
310,2
29,3
83,1
318,2
107,1
237,0
244,0
133,4
184,4
304,2
44,3
353,5
65,1
285,2
85,1
242,0
186,4
70,1
159,4
12,3
35,3
28,3
170,4
142,4
365,5
261,2
221,0
95,1
51,3
240,0
287,2
364,5
178,4
41,3
298,2
206,0
254,0
345,5
4,3
256,0
356,5
100,1
226,0
329,5
213,0
171,4
98,1
215,0
61,3
47,3
32,3
267,2
200,0
342,5
27,3
300,2
230,0
260,0
288,2
162,4
327,5
138,4
62,3
135,4
128,4
8,3
64,3
14,3
156,4
40,3
352,5
311,2
216,0
279,2
332,5
236,0
207,0
